age,job,marital,education,balance,housing,loan,y
43,management,married,tertiary,33875,yes,no,no
48,admin,single,tertiary,43218,yes,yes,yes
40,management,single,tertiary,38201,yes,yes,yes
33,admin,married,secondary,29633,yes,yes,yes
57,technician,married,primary,8100,yes,yes,yes
21,admin,divorced,primary,34828,no,yes,no
34,management,married,primary,38850,no,no,no
20,admin,married,secondary,38047,yes,no,no
36,admin,single,secondary,42156,yes,yes,no
20,services,divorced,secondary,8980,yes,yes,yes
55,management,married,tertiary,36064,no,yes,no
45,management,single,primary,1973,yes,yes,no
43,admin,divorced,secondary,26807,no,no,yes
34,student,divorced,secondary,14559,yes,yes,yes
49,management,single,tertiary,37653,yes,no,no
63,admin,single,tertiary,19450,no,no,no
61,student,single,secondary,4820,no,no,yes
36,services,single,tertiary,47499,yes,no,no
69,admin,married,secondary,26129,no,yes,no
67,services,single,secondary,26533,yes,no,yes
33,student,divorced,primary,32077,no,yes,yes
63,technician,divorced,secondary,16420,yes,no,no
40,services,married,tertiary,21821,no,no,no
27,management,divorced,primary,4406,yes,no,yes
40,management,divorced,tertiary,5451,no,no,yes
46,management,divorced,secondary,37913,yes,yes,yes
27,services,married,primary,33768,no,yes,yes
44,management,single,tertiary,9959,no,no,no
33,services,single,primary,31567,yes,no,yes
59,management,single,primary,16480,no,no,no
56,services,divorced,primary,28347,no,no,yes
68,services,divorced,primary,32781,yes,yes,yes
44,services,single,tertiary,43153,no,yes,no
20,student,married,secondary,2393,yes,no,no
50,services,married,secondary,3542,yes,no,no
53,services,divorced,secondary,13363,yes,no,no
67,management,divorced,secondary,33750,yes,no,yes
62,services,divorced,tertiary,11266,no,no,yes
36,services,married,secondary,39140,no,yes,yes
54,student,divorced,tertiary,12084,yes,yes,no
40,technician,single,secondary,2847,no,no,no
58,technician,married,secondary,46784,yes,yes,no
68,student,married,primary,28757,yes,no,no
54,management,divorced,secondary,7099,no,yes,no
33,admin,divorced,tertiary,40850,no,yes,yes
31,admin,single,primary,17845,no,yes,no
62,admin,married,tertiary,44466,yes,yes,no
39,management,single,tertiary,6224,yes,yes,yes
23,technician,married,secondary,17277,no,yes,yes
68,admin,married,primary,29719,yes,yes,yes
19,admin,divorced,primary,6286,yes,yes,yes
55,admin,single,primary,1201,no,yes,yes
54,student,single,tertiary,11930,no,yes,no
34,admin,divorced,tertiary,16877,no,no,no
26,admin,divorced,primary,5813,no,yes,no
23,student,divorced,tertiary,6272,yes,yes,yes
60,technician,married,primary,20224,no,yes,yes
41,technician,married,primary,26473,no,no,yes
60,admin,divorced,secondary,36254,yes,no,no
39,technician,married,tertiary,49499,yes,yes,no
34,technician,divorced,secondary,38538,no,yes,no
22,admin,single,secondary,8033,no,yes,yes
43,management,single,secondary,24293,no,no,no
40,technician,single,primary,31961,no,no,yes
37,services,married,secondary,42922,no,yes,yes
21,technician,divorced,tertiary,33105,yes,no,no
53,services,single,primary,38300,yes,no,yes
25,student,divorced,secondary,16713,no,no,no
56,admin,divorced,primary,6550,no,yes,yes
33,admin,married,tertiary,6321,no,no,yes
22,management,married,primary,7977,no,no,no
67,student,divorced,primary,28712,no,yes,no
32,management,divorced,secondary,2467,no,yes,yes
70,admin,divorced,tertiary,18375,yes,yes,no
66,services,single,primary,24427,yes,no,no
19,technician,married,primary,20988,no,yes,yes
54,services,married,secondary,30680,no,yes,yes
60,management,divorced,primary,16544,yes,yes,no
27,services,single,tertiary,9293,no,yes,no
41,services,married,tertiary,18234,yes,no,yes
21,student,divorced,tertiary,24680,yes,yes,no
47,management,married,secondary,37525,yes,no,no
56,services,single,tertiary,35948,yes,yes,yes
34,technician,single,secondary,21713,yes,yes,yes
59,technician,divorced,primary,40188,yes,no,no
63,management,married,secondary,4051,no,no,yes
47,services,single,tertiary,2139,no,no,yes
20,student,divorced,primary,3663,yes,no,yes
48,admin,divorced,tertiary,8837,yes,yes,yes
41,admin,married,secondary,31206,no,no,no
23,admin,divorced,secondary,47731,no,no,no
45,technician,divorced,primary,11263,no,no,yes
25,services,married,secondary,20427,no,yes,no
41,student,single,tertiary,6586,no,no,yes
47,student,divorced,primary,49391,yes,yes,yes
35,services,married,secondary,43859,yes,no,yes
21,technician,single,secondary,45860,yes,yes,no
64,services,divorced,tertiary,35979,yes,no,yes
43,student,divorced,secondary,32064,yes,yes,yes
44,admin,single,primary,3242,yes,yes,yes
36,services,divorced,secondary,26482,yes,yes,no
59,admin,divorced,primary,6918,no,yes,yes
31,technician,divorced,secondary,44159,no,yes,yes
54,technician,married,primary,28421,no,no,no
57,management,single,secondary,40949,no,no,no
25,admin,divorced,secondary,8519,yes,no,no
38,admin,divorced,secondary,31887,no,no,yes
47,services,divorced,primary,44865,yes,no,no
29,technician,single,primary,30952,no,yes,yes
24,admin,married,primary,28235,no,yes,yes
37,student,married,primary,45663,yes,no,yes
23,admin,married,secondary,13885,yes,no,no
33,admin,divorced,secondary,23109,no,no,no
60,services,single,secondary,23446,yes,yes,no
37,management,divorced,secondary,6301,no,no,yes
68,technician,married,secondary,47164,no,yes,yes
70,services,married,tertiary,30126,no,no,yes
60,services,married,tertiary,20338,yes,yes,yes
43,student,single,secondary,34890,no,yes,no
46,student,divorced,secondary,28408,no,yes,yes
32,admin,divorced,primary,6860,no,yes,yes
20,management,divorced,secondary,31095,yes,yes,yes
51,student,single,secondary,4318,no,no,no
18,admin,divorced,tertiary,8461,yes,yes,no
37,technician,married,primary,3143,no,no,yes
47,services,divorced,secondary,3398,yes,no,no
31,admin,single,tertiary,16207,no,yes,no
22,technician,single,primary,37595,yes,yes,no
45,student,divorced,secondary,24970,no,yes,yes
28,technician,single,tertiary,27228,yes,no,no
30,technician,married,secondary,45930,yes,yes,yes
21,services,married,tertiary,-299,no,yes,yes
31,student,single,tertiary,27130,yes,no,no
31,admin,single,secondary,22423,no,no,yes
61,technician,divorced,secondary,11943,yes,no,yes
26,services,single,tertiary,7255,yes,no,yes
47,admin,married,primary,2735,yes,no,yes
55,services,divorced,primary,-352,yes,yes,no
63,student,single,tertiary,20421,yes,yes,yes
39,management,single,secondary,1080,yes,no,no
54,student,divorced,primary,5741,yes,no,no
62,technician,divorced,secondary,27092,no,yes,yes
22,admin,divorced,secondary,25463,yes,no,no
65,management,married,primary,6256,yes,no,yes
20,technician,single,primary,10691,yes,no,no
30,student,married,primary,32103,yes,yes,yes
50,student,divorced,primary,-969,no,yes,yes
22,technician,married,tertiary,27832,yes,no,yes
26,technician,married,primary,41279,no,yes,no
60,services,married,primary,30688,yes,no,yes
26,management,divorced,tertiary,7520,no,no,no
67,services,married,primary,19002,yes,no,no
28,technician,divorced,tertiary,31458,yes,no,no
55,services,married,primary,42695,yes,no,no
29,services,married,secondary,5148,no,yes,no
54,services,married,primary,45327,yes,no,yes
68,admin,married,secondary,47101,yes,yes,no
26,services,divorced,tertiary,20758,yes,yes,no
62,student,married,tertiary,6237,no,yes,no
52,student,divorced,secondary,43197,no,no,no
55,technician,divorced,secondary,39777,no,yes,no
61,services,divorced,tertiary,9518,yes,yes,yes
20,student,divorced,primary,15806,yes,yes,no
58,technician,married,tertiary,22220,no,no,no
37,admin,divorced,secondary,10246,yes,yes,yes
70,student,single,tertiary,43695,yes,no,no
67,student,single,primary,4374,yes,yes,no
46,admin,married,primary,48357,no,no,yes
70,student,divorced,tertiary,13474,yes,yes,yes
51,services,divorced,secondary,37193,yes,no,no
53,services,married,primary,36690,yes,yes,yes
60,technician,single,tertiary,31103,no,no,yes
41,student,married,secondary,45131,yes,no,yes
27,management,single,primary,11374,yes,yes,no
40,admin,divorced,primary,29858,no,no,yes
47,technician,single,primary,39798,yes,no,no
42,technician,single,tertiary,15160,no,yes,yes
43,services,single,tertiary,5108,no,yes,yes
23,services,married,primary,156,no,no,no
40,technician,single,primary,6515,yes,no,no
62,management,married,primary,14115,no,yes,yes
69,student,single,tertiary,13345,no,no,no
28,management,divorced,tertiary,15953,yes,yes,yes
28,management,married,tertiary,37132,yes,yes,yes
24,technician,single,secondary,46841,yes,yes,no
59,technician,married,primary,44326,yes,yes,no
64,technician,divorced,tertiary,23812,yes,no,no
65,services,single,secondary,16273,no,no,yes
36,services,divorced,secondary,46233,no,no,yes
59,management,divorced,secondary,15731,yes,yes,no
64,student,single,primary,13805,no,no,no
66,management,divorced,primary,38694,no,no,no
70,technician,divorced,tertiary,2683,no,no,no
42,management,married,secondary,8165,no,no,no
34,services,divorced,primary,48609,yes,no,no
44,admin,single,tertiary,1417,yes,no,no
64,student,married,primary,8718,yes,no,no
62,management,single,tertiary,20886,no,no,yes
42,admin,single,tertiary,12984,yes,no,no
67,technician,married,primary,-617,yes,no,yes
69,technician,married,tertiary,25843,yes,no,no
34,admin,divorced,primary,5357,no,yes,yes
24,student,married,secondary,16107,no,no,no
35,student,single,primary,48072,no,yes,yes
37,admin,divorced,tertiary,39373,yes,no,no
21,services,married,primary,31699,no,no,no
26,management,single,tertiary,28991,no,no,no
58,student,married,tertiary,25421,yes,yes,no
49,management,married,primary,15172,no,no,no
18,student,married,tertiary,37774,yes,no,yes
56,student,divorced,tertiary,29973,yes,no,yes
20,technician,single,tertiary,20425,no,no,yes
61,management,single,primary,13533,no,yes,yes
61,admin,single,tertiary,7349,yes,no,yes
41,management,married,tertiary,22959,yes,yes,no
62,services,married,primary,27024,no,yes,yes
36,admin,married,primary,45846,yes,no,yes
65,services,single,secondary,37871,no,yes,no
63,admin,divorced,tertiary,20600,no,yes,yes
67,management,divorced,primary,1682,yes,yes,yes
54,admin,married,secondary,22659,no,yes,yes
26,services,married,primary,22459,no,yes,yes
34,services,married,tertiary,25492,no,no,yes
54,admin,married,tertiary,3733,no,no,no
27,management,divorced,primary,30651,no,yes,no
31,admin,married,secondary,23938,no,yes,no
68,technician,married,secondary,49919,no,no,no
41,management,single,primary,45965,yes,yes,no
67,admin,married,tertiary,33242,yes,yes,no
64,admin,divorced,primary,36256,yes,no,no
34,student,single,secondary,39934,no,yes,yes
36,services,married,tertiary,4060,no,yes,yes
18,student,divorced,secondary,5496,yes,no,no
67,technician,married,secondary,29479,no,yes,no
52,services,single,tertiary,19201,yes,no,no
28,services,divorced,primary,13934,no,yes,yes
37,management,single,tertiary,34580,yes,no,no
18,student,single,tertiary,11687,yes,yes,yes
63,admin,divorced,primary,37071,yes,yes,no
23,student,divorced,secondary,13724,no,yes,no
54,services,single,secondary,46903,no,no,no
26,services,married,secondary,11695,no,yes,no
54,admin,single,tertiary,42129,yes,yes,yes
34,admin,single,tertiary,9570,no,no,yes
69,services,divorced,primary,21199,no,no,no
48,services,married,primary,6340,yes,no,no
42,management,divorced,primary,13003,no,no,yes
51,technician,divorced,tertiary,26613,yes,yes,yes
42,admin,single,secondary,8010,yes,no,no
58,management,married,tertiary,43608,no,no,no
25,technician,married,secondary,1565,yes,no,yes
33,management,single,tertiary,44152,yes,yes,yes
27,technician,single,secondary,30696,yes,no,yes
27,student,divorced,primary,17701,no,no,no
43,technician,divorced,secondary,26636,no,no,yes
25,services,single,primary,20012,yes,yes,yes
40,services,single,tertiary,28527,yes,no,yes
45,services,divorced,tertiary,21772,yes,yes,yes
69,admin,single,primary,40395,yes,yes,yes
51,student,single,secondary,42689,no,yes,no
66,admin,single,primary,31538,no,yes,yes
44,admin,divorced,secondary,48717,yes,no,no
62,management,divorced,primary,32838,yes,yes,yes
69,services,divorced,tertiary,13828,yes,yes,no
50,services,single,tertiary,11889,yes,no,yes
36,management,married,secondary,19776,yes,no,no
27,services,divorced,tertiary,45258,yes,no,no
28,services,divorced,tertiary,1602,no,yes,no
23,services,single,tertiary,31741,no,yes,yes
34,services,married,primary,9749,yes,no,yes
21,management,married,secondary,31181,no,no,no
43,management,single,primary,12630,no,no,yes
26,technician,divorced,secondary,18101,yes,no,no
33,services,married,tertiary,38129,no,no,no
49,admin,single,primary,27643,no,yes,no
34,management,single,tertiary,44151,yes,yes,yes
20,services,single,secondary,48214,yes,yes,yes
45,management,divorced,primary,8340,no,no,no
54,admin,married,primary,13678,no,no,yes
24,management,divorced,primary,6627,yes,no,yes
40,services,divorced,secondary,39832,no,yes,yes
49,services,divorced,primary,12414,no,no,no
31,management,single,secondary,29542,no,yes,no
46,technician,married,primary,9012,no,no,no
19,student,single,secondary,35855,yes,yes,yes
51,services,divorced,secondary,22164,yes,yes,no
43,services,single,secondary,16800,no,no,yes
58,student,married,tertiary,7083,no,no,no
19,services,single,secondary,38771,no,yes,no
50,technician,married,tertiary,35505,yes,yes,no
19,technician,divorced,primary,34011,yes,yes,yes
42,student,single,tertiary,36330,yes,yes,no
70,management,single,secondary,27727,yes,no,no
33,management,married,tertiary,22980,yes,no,no
40,admin,single,secondary,26686,no,yes,yes
42,admin,single,tertiary,47791,yes,yes,yes
67,management,single,tertiary,34031,yes,no,no
43,technician,married,tertiary,42240,no,no,yes
24,technician,married,secondary,38274,no,yes,no
44,student,single,tertiary,49961,no,yes,yes
45,services,single,secondary,28646,yes,no,yes
36,management,single,primary,18176,yes,no,yes
41,admin,single,secondary,35517,no,no,no
34,services,single,secondary,3802,yes,no,yes
22,management,married,tertiary,36271,no,yes,yes
51,technician,divorced,primary,39525,no,yes,yes
70,technician,divorced,primary,42995,yes,yes,yes
59,services,married,primary,27623,no,no,no
26,technician,divorced,primary,42972,no,no,yes
62,technician,single,tertiary,47485,no,yes,yes
37,student,single,secondary,43757,yes,no,no
39,technician,single,primary,7436,no,no,no
41,admin,divorced,tertiary,16525,no,yes,no
33,technician,divorced,secondary,48120,no,no,yes
69,services,single,tertiary,40961,no,no,yes
31,technician,divorced,primary,4029,no,yes,no
61,management,divorced,secondary,28695,yes,yes,no
48,management,married,secondary,46036,no,yes,no
31,technician,divorced,tertiary,32734,no,no,no
24,student,divorced,primary,18551,no,yes,no
20,student,married,secondary,49315,yes,no,no
22,admin,married,tertiary,45767,no,no,yes
39,services,married,primary,47736,no,no,yes
48,technician,single,secondary,42999,no,no,yes
27,technician,divorced,secondary,35265,no,no,yes
60,technician,divorced,tertiary,5791,no,no,yes
63,management,single,secondary,29718,yes,yes,no
22,technician,married,secondary,6077,yes,yes,no
67,technician,divorced,primary,46228,no,yes,no
34,management,divorced,primary,21779,no,yes,yes
65,technician,married,tertiary,49339,yes,yes,no
43,admin,single,primary,45586,no,yes,yes
67,services,married,secondary,33947,yes,yes,yes
54,management,married,secondary,2563,yes,no,no
68,admin,married,tertiary,21162,yes,yes,no
49,management,married,tertiary,12931,no,yes,no
32,services,divorced,primary,10715,no,no,yes
49,technician,single,tertiary,13362,yes,no,yes
18,technician,married,tertiary,26606,no,no,no
27,student,married,tertiary,3726,yes,yes,no
31,admin,divorced,secondary,1237,yes,no,yes
54,admin,married,primary,37079,yes,no,no
29,technician,divorced,primary,2541,no,yes,no
20,student,single,primary,21863,no,no,no
28,student,married,tertiary,18183,no,yes,yes
70,technician,married,secondary,5387,no,yes,yes
50,admin,single,primary,10022,no,no,yes
41,technician,married,secondary,9062,no,no,no
30,services,divorced,tertiary,45899,no,no,no
60,services,married,primary,39220,no,no,no
